Soil_Moisture(%),Nitrogen(ppm),Phosphorus(ppm),Potassium(ppm),Light_Density(Lux),Irrigation(Liters),Soil_pH,EC(dS/m),Temperature(°C),Humidity(%)
31,41,24,47,16804,7,6.77,0.79,35.5,49
36,70,32,48,14948,2,6.65,1.51,32.2,47
54,65,27,42,12781,3,6.44,1.2,30.2,49
33,69,25,87,11069,4,6.75,2.1,30.1,58
45,51,21,40,8707,0,7.12,0.79,25.1,61
48,72,24,53,13219,1,6.79,1.49,30.4,60
24,78,28,58,6900,8,6.96,1.78,27.0,66
44,41,20,87,12445,4,6.42,1.47,32.5,60
34,71,18,86,22374,5,6.78,1.99,39.2,42
24,68,33,50,10202,9,7.1,1.53,29.4,58
32,70,34,76,15296,3,6.75,2.08,34.4,55
29,55,19,81,16894,4,6.93,1.6,32.1,49
25,71,34,70,15273,6,7.11,1.99,34.4,52
19,41,37,53,11498,11,6.74,1.15,29.2,58
43,77,31,51,4000,2,6.02,1.68,23.9,61
38,43,23,72,11341,0,6.57,1.28,27.3,64
30,58,15,49,7285,6,6.4,0.98,28.3,65
36,52,23,83,12640,2,6.36,1.66,29.3,63
35,65,22,41,8967,3,6.61,1.09,27.9,56
19,63,30,65,12579,9,6.29,1.66,31.3,49
45,67,30,60,13132,1,6.61,1.64,32.1,56
40,65,35,55,7972,4,6.89,1.6,26.9,68
21,46,35,52,10362,10,6.51,1.19,28.7,56
21,49,30,82,13133,11,7.14,1.72,31.2,58
29,75,31,85,19238,3,6.95,2.29,37.4,50
39,68,34,67,9893,0,6.64,1.87,28.3,58
43,50,37,64,8539,3,6.9,1.53,27.5,63
52,71,26,58,15177,0,7.02,1.6,32.0,58
21,67,19,48,12362,9,6.75,1.2,29.6,54
29,70,39,73,7353,3,6.42,2.12,26.6,60
21,40,25,53,13077,7,6.57,0.9,29.3,57
48,49,16,84,6933,2,7.02,1.49,25.6,72
24,48,22,40,6159,10,6.82,0.75,23.7,69
27,78,17,43,11161,5,7.13,1.28,29.2,56
41,71,17,58,15304,1,6.37,1.43,33.7,48
32,51,35,72,16536,6,7.06,1.66,33.5,65
37,65,36,50,10146,0,7.22,1.53,27.8,60
24,64,29,67,12313,11,6.91,1.7,30.2,69
30,69,35,41,16809,4,6.66,1.41,32.0,56
45,71,22,40,15461,2,7.33,1.19,32.2,41
35,56,16,45,15219,0,6.63,0.88,31.2,43
28,46,34,49,14963,5,6.65,1.11,32.1,57
53,57,16,50,7292,3,7.55,1.0,25.4,57
53,56,16,77,9420,3,7.2,1.49,25.6,64
19,58,29,70,10388,11,6.73,1.64,29.8,58
34,58,26,53,7607,3,6.58,1.26,25.6,64
23,50,38,74,13419,8,7.08,1.74,29.3,66
40,79,38,57,7788,0,6.8,1.97,27.4,50
33,58,21,47,11188,4,7.14,1.05,28.8,70
43,56,32,76,10898,0,6.88,1.78,29.5,55
18,57,23,56,15797,9,6.76,1.24,30.1,58
53,45,38,61,12425,4,6.91,1.4,31.2,61
47,51,28,58,10291,3,6.34,1.26,28.1,64
19,40,21,70,11496,6,6.77,1.15,29.6,61
37,53,33,49,14778,1,6.73,1.22,30.8,60
22,45,24,42,18132,8,6.61,0.77,33.3,56
48,63,36,64,11994,3,6.65,1.76,30.2,64
25,75,32,76,12474,5,5.84,2.14,28.5,70
47,73,33,66,12154,4,7.07,1.93,29.4,54
19,55,24,61,17006,8,6.6,1.32,32.7,53
30,44,37,85,16842,5,6.62,1.81,33.6,59
21,40,20,56,10494,10,6.73,0.86,28.5,56
25,47,27,78,12541,6,5.99,1.55,30.5,62
42,76,19,74,11981,1,7.04,1.87,29.9,54
24,46,16,41,15744,8,6.36,0.61,33.7,56
31,72,17,42,4000,3,6.64,1.15,26.4,68
46,63,19,74,18078,0,6.93,1.62,34.4,62
38,60,16,84,12945,2,6.44,1.7,30.8,57
54,58,30,74,15499,0,6.69,1.74,34.2,52
50,48,30,41,11615,2,6.81,0.92,31.4,65
42,65,25,41,7223,0,6.51,1.15,26.2,66
31,53,28,79,18147,4,6.59,1.7,33.5,49
26,43,35,82,15493,6,6.29,1.7,29.8,57
32,78,26,61,11010,5,6.5,1.8,28.2,64
24,44,35,66,10650,7,6.82,1.41,30.3,54
19,68,34,57,11682,9,6.42,1.68,28.5,47
48,62,17,73,15188,4,6.83,1.55,32.7,59
24,72,32,81,4000,7,6.99,2.18,24.4,67
28,73,32,41,9784,5,6.84,1.43,30.0,54
30,44,26,74,13010,5,6.75,1.4,28.9,64
30,46,18,59,16353,4,6.58,1.0,31.3,58
43,51,24,70,9068,2,6.7,1.41,28.3,66
25,63,17,64,14502,6,6.26,1.4,34.9,55
31,69,19,81,12776,7,6.66,1.87,30.7,51
19,63,37,84,9908,9,6.76,2.16,28.9,65
32,74,37,59,15161,3,7.07,1.89,31.0,56
41,75,24,64,11271,2,6.21,1.76,30.2,56
51,55,24,53,10155,0,7.08,1.17,29.3,61
21,41,35,89,8224,6,7.11,1.8,30.4,52
35,61,34,89,14431,1,6.54,2.16,34.1,55
42,64,29,64,10251,2,6.5,1.64,26.4,69
41,49,31,82,10357,1,6.86,1.74,26.8,54
23,61,34,58,9667,11,6.85,1.57,28.2,58
51,41,39,52,11963,3,6.92,1.17,30.6,48
20,74,33,57,13729,8,6.61,1.78,33.0,49
36,62,24,80,8487,1,6.4,1.81,25.6,58
53,40,24,89,4213,0,6.52,1.57,25.7,67
36,60,25,47,18198,1,7.09,1.17,34.7,54
45,69,18,79,12127,0,6.84,1.81,30.8,53
27,77,39,78,10360,3,7.04,2.35,27.0,61
35,55,18,88,22396,2,6.37,1.72,36.8,49
21,46,30,67,14710,7,6.64,1.38,30.7,59
29,76,22,46,13308,5,6.07,1.4,30.5,57
44,60,27,57,14638,3,6.48,1.4,30.7,54
46,58,31,78,17095,3,7.0,1.83,34.4,52
29,65,15,45,19246,5,6.79,1.03,35.6,53
28,67,39,76,13977,5,6.52,2.12,32.0,58
21,50,38,67,4000,8,6.93,1.6,26.1,60
41,77,27,60,16521,1,6.36,1.78,32.0,57
43,68,22,86,11197,2,6.91,2.0,27.6,63
45,71,38,79,11620,0,7.29,2.23,30.5,57
21,53,28,74,12921,6,6.3,1.6,29.3,56
53,78,18,63,12075,4,6.29,1.68,29.6,63
32,70,25,66,9121,6,6.27,1.72,28.6,61
39,52,36,71,10706,2,6.66,1.68,29.4,58
41,56,32,55,4949,4,6.98,1.38,24.8,68
41,40,36,74,11197,2,6.88,1.51,29.6,62
54,52,32,53,9263,4,6.82,1.26,27.0,74
22,45,31,69,14974,8,6.74,1.41,33.8,48
23,75,33,78,16133,8,6.39,2.2,34.7,47
27,62,25,86,19745,7,6.74,1.95,35.2,53
20,63,19,72,12071,7,6.87,1.59,29.4,71
51,54,27,89,6379,1,6.66,1.89,24.2,58
23,68,23,84,8849,8,6.86,1.99,27.9,61
27,59,29,41,12147,7,6.76,1.11,29.8,56
33,60,36,81,12477,7,6.86,2.02,32.8,59
46,73,22,77,12828,3,6.73,1.93,30.1,55
20,69,24,43,13396,7,6.54,1.24,28.5,60
28,69,38,83,9180,7,7.17,2.27,26.9,58
54,51,38,79,7470,0,6.37,1.85,28.2,65
21,40,18,88,11910,8,6.57,1.43,30.8,54
21,52,30,66,9967,10,6.1,1.47,29.6,60
41,71,33,80,11762,3,7.06,2.16,27.3,59
45,78,28,53,10856,2,6.4,1.68,29.0,53
52,48,22,51,12462,0,6.71,0.96,28.7,63
41,47,34,55,10298,2,7.2,1.24,29.6,56
39,66,21,87,8403,3,6.63,1.97,26.5,49
43,53,17,57,16754,0,6.65,1.07,34.0,63
35,52,34,68,6756,4,6.64,1.59,27.4,64
20,50,27,61,11721,6,6.13,1.28,28.1,66
28,72,22,71,8683,7,6.47,1.8,27.0,71
26,56,17,69,6390,7,6.5,1.36,27.0,69
50,51,17,43,7302,4,6.98,0.77,27.6,54
43,66,20,66,11794,3,6.03,1.55,30.0,60
53,66,36,70,16904,4,6.54,1.93,31.5,51
21,65,33,79,10364,6,6.37,2.02,27.5,56
19,63,31,72,10455,8,6.88,1.81,28.4,58
25,70,25,83,17755,5,6.95,2.04,35.5,55
24,57,21,65,15191,9,6.19,1.38,32.0,58
53,59,24,52,12452,0,6.63,1.22,30.3,56
51,74,37,65,15567,1,6.42,2.0,31.7,62
36,70,23,43,8325,1,6.91,1.24,27.9,56
46,59,19,41,10715,3,6.93,0.92,28.3,69
23,78,17,89,11932,8,6.67,2.16,30.9,60
27,49,30,48,13417,3,6.62,1.07,31.8,63
22,63,23,45,17605,10,7.12,1.15,33.0,65
41,59,20,76,7333,1,6.36,1.6,24.6,68
39,65,32,50,15271,4,6.35,1.45,35.1,49
43,47,28,59,14210,3,7.14,1.2,30.6,53
54,58,21,47,16649,3,7.06,1.05,32.9,46
46,48,27,62,14727,4,7.12,1.26,30.3,52
53,57,27,78,13590,3,6.59,1.74,29.9,67
37,41,21,49,18009,4,6.96,0.77,32.4,51
35,79,39,40,9871,3,6.25,1.66,28.6,74
32,70,24,89,8880,3,6.43,2.14,27.7,63
32,61,34,77,14569,6,6.68,1.93,33.2,57
41,61,31,65,15889,0,7.44,1.64,31.1,63
46,64,25,85,12975,4,6.5,1.97,30.3,63
34,62,25,45,13167,4,6.48,1.17,32.6,60
42,45,23,79,10561,2,7.29,1.45,29.7,61
33,75,20,66,9203,5,6.93,1.72,28.4,56
34,40,19,48,8598,7,7.01,0.69,28.1,54
38,68,21,75,14862,1,6.65,1.78,33.3,55
44,45,18,64,15786,1,6.87,1.07,31.9,51
22,72,21,69,16894,8,6.36,1.74,35.1,55
39,75,36,54,14679,3,6.25,1.8,30.9,55
50,44,22,45,8664,4,6.82,0.77,26.6,61
19,43,17,46,7605,8,6.52,0.67,26.5,74
52,45,36,78,10433,2,6.83,1.68,28.1,62
36,67,27,56,15765,0,6.79,1.51,29.2,54
44,45,36,68,12093,0,6.28,1.49,28.2,68
53,67,37,75,8410,3,6.59,2.06,27.6,71
19,56,19,86,15353,9,7.03,1.72,35.1,53
35,76,17,46,10993,3,6.92,1.3,30.1,57
40,67,15,44,9527,4,6.65,1.05,28.5,61
43,46,22,59,6671,4,6.51,1.07,24.2,70
28,64,35,83,7501,4,6.79,2.12,27.0,56
18,66,26,71,19179,8,7.43,1.76,35.2,52
53,58,27,55,13152,0,6.3,1.32,31.0,59
37,62,32,80,12201,1,6.73,1.97,28.9,55
48,52,15,45,13323,0,6.69,0.79,29.1,59
25,41,22,82,16911,5,6.81,1.41,35.6,46
41,42,24,44,10544,0,7.14,0.75,27.7,64
37,67,31,67,10324,3,6.45,1.8,29.3,50
32,57,36,57,15323,5,6.18,1.51,31.6,58
47,68,36,46,12104,1,6.48,1.51,29.1,63
37,72,37,73,17368,0,6.67,2.12,32.8,66
19,77,20,52,13133,11,7.23,1.49,30.8,59
23,49,26,47,8897,7,7.02,0.98,28.1,69
35,77,27,62,8723,4,6.66,1.81,27.3,64
53,77,38,48,14433,0,6.99,1.76,32.3,58
31,56,18,83,10601,4,7.16,1.64,29.4,48
43,70,39,72,4000,3,6.55,2.1,23.2,62
51,59,32,48,11268,3,6.55,1.3,28.7,67
47,65,23,76,11545,0,6.62,1.78,30.0,54
24,54,34,87,13263,6,6.69,1.99,30.7,62
47,65,21,59,8895,0,6.77,1.41,29.1,50
35,79,24,77,15827,0,6.95,2.08,30.6,66
39,47,16,44,4487,3,6.44,0.69,25.1,58
34,45,22,87,9897,7,6.48,1.59,27.8,61
48,71,22,87,10755,1,6.28,2.08,27.4,65
34,72,33,76,10672,5,6.43,2.1,28.7,61
48,47,28,62,13517,1,6.44,1.26,31.8,61
30,52,24,64,12602,4,6.66,1.32,30.3,61
44,48,37,82,16095,1,6.45,1.83,34.1,60
37,45,33,50,8748,3,6.64,1.09,27.9,62
34,48,21,44,12654,7,7.22,0.8,31.0,53
46,73,26,54,6641,3,7.14,1.57,25.9,59
52,40,38,88,17185,1,6.3,1.81,33.7,64
25,44,20,67,13088,4,6.94,1.15,32.0,59
32,69,23,57,6876,7,6.53,1.49,26.3,62
18,63,27,77,14972,10,6.42,1.83,32.9,51
50,51,28,47,5636,4,6.91,1.05,24.6,72
20,49,16,68,8915,7,6.69,1.19,27.3,69
32,72,36,41,13505,5,6.8,1.49,28.6,62
35,43,22,81,11639,0,7.05,1.43,30.3,60
48,75,24,44,14835,2,6.32,1.38,33.2,65
37,63,37,71,7440,2,6.42,1.91,24.6,71
24,48,15,48,5553,11,6.27,0.77,24.4,65
54,79,25,52,15949,3,7.05,1.62,32.3,52
44,41,27,77,6170,4,6.75,1.41,24.4,64
25,54,20,47,15004,5,6.5,0.96,31.8,57
31,45,19,89,8771,3,6.6,1.57,30.6,49
32,78,22,65,15697,3,6.6,1.8,31.9,58
24,75,38,75,10426,7,6.59,2.23,30.4,52
50,46,35,40,9269,3,6.54,0.96,26.6,57
51,76,29,60,6641,4,6.45,1.8,28.1,62
21,46,35,82,6011,7,6.86,1.76,25.4,75
18,77,21,88,9810,9,6.91,2.2,28.5,67
31,45,34,58,10090,5,6.99,1.26,29.5,62
48,52,16,48,10387,3,6.83,0.86,28.4,65
37,78,39,85,12243,2,6.12,2.5,31.1,59
20,75,27,47,5596,8,6.22,1.49,24.7,68
52,73,23,73,8569,2,6.32,1.87,28.4,50
50,49,29,45,7489,2,6.81,1.0,27.8,64
32,56,23,69,16467,3,6.6,1.47,33.7,54
20,76,22,57,20040,11,5.99,1.6,35.8,52
45,56,36,46,14702,1,6.7,1.28,31.3,62
44,63,35,86,16219,0,6.58,2.16,34.6,56
50,56,33,62,14228,0,6.81,1.53,33.1,64
36,68,36,74,12046,2,6.29,2.04,29.5,61
50,53,34,61,15391,1,6.35,1.47,31.9,60
48,48,16,89,9138,4,6.58,1.57,27.1,56
21,71,33,70,13257,11,6.68,1.97,30.0,50
49,51,37,75,8075,4,7.18,1.76,27.3,58
45,72,37,53,11398,2,6.63,1.74,28.6,65
33,41,30,42,17501,7,6.1,0.8,34.1,60
45,72,23,49,6117,3,6.16,1.4,26.5,64
32,78,19,88,8612,4,6.35,2.18,28.2,61
39,70,27,72,10141,4,7.09,1.87,28.7,55
48,70,36,58,10266,3,6.33,1.78,28.7,69
38,48,26,42,7630,4,6.71,0.86,28.6,63
49,41,25,59,13994,4,6.91,1.03,32.2,48
24,48,20,50,16365,11,6.97,0.9,33.3,59
50,48,34,75,12670,3,6.75,1.64,32.9,54
25,59,28,43,4945,3,6.87,1.13,24.6,62
31,50,23,84,11015,7,6.7,1.64,29.7,58
42,52,36,51,16974,1,7.0,1.3,33.8,56
49,55,34,65,12902,0,7.05,1.59,29.0,67
45,68,36,69,12392,3,6.4,1.95,32.3,55
19,43,24,67,14326,9,6.82,1.2,32.5,67
34,68,38,53,11915,5,6.67,1.68,29.8,59
44,65,30,47,12954,2,6.52,1.36,31.2,58
19,48,28,43,9651,11,7.12,0.92,28.1,58
25,46,22,61,10811,5,6.0,1.11,28.7,68
37,40,34,58,10513,3,6.56,1.17,28.1,59
54,68,29,77,14957,4,6.72,1.97,32.1,55
38,72,18,87,18483,1,6.66,2.02,34.9,49
43,57,27,75,15843,1,6.94,1.68,31.8,64
48,40,27,59,8448,1,6.63,1.05,27.8,62
37,56,18,85,11680,0,7.42,1.68,30.4,49
23,55,20,77,10703,6,6.66,1.55,30.4,56
32,62,24,83,13331,7,6.55,1.87,28.5,57
18,78,31,51,13097,11,6.38,1.7,29.8,56
43,49,26,61,19107,1,6.51,1.24,35.3,48
46,57,20,67,11087,0,7.06,1.4,29.4,60
19,62,35,62,14140,11,6.4,1.68,31.8,58
39,63,30,67,11844,4,6.81,1.7,29.3,64
46,43,22,74,5767,4,6.9,1.3,25.1,73
26,65,15,78,13297,5,6.57,1.66,29.1,61
38,74,26,51,8314,3,6.98,1.53,26.7,60
49,55,21,70,13612,4,7.05,1.43,31.2,55
49,67,39,50,11426,4,7.29,1.62,30.4,58
43,48,33,46,13420,1,6.85,1.07,33.1,60
30,44,20,81,12719,6,6.86,1.41,31.3,58
20,70,38,63,13941,6,6.85,1.91,32.1,52
49,44,25,81,12234,4,7.58,1.51,29.4,60
50,66,37,88,10813,3,6.59,2.29,30.2,59
50,44,35,56,5111,0,6.54,1.22,22.8,62
30,66,31,78,9404,4,6.58,1.99,26.0,64
23,48,19,61,8298,9,6.43,1.09,26.1,53
21,57,34,58,18037,10,5.95,1.49,33.4,54
23,78,29,63,10326,7,7.01,1.89,27.4,71
20,69,30,45,9352,6,6.69,1.4,29.2,67
44,57,26,86,14775,1,6.82,1.87,29.9,61
37,43,23,64,11495,4,6.38,1.13,27.8,60
35,79,33,63,8142,4,6.85,1.99,25.7,64
37,62,17,67,12359,4,6.82,1.43,30.3,59
47,53,33,42,14752,0,6.42,1.09,32.0,58
27,73,36,55,11530,3,6.69,1.78,30.8,52
40,67,30,40,18382,4,6.67,1.26,36.4,54
20,63,22,44,24516,7,7.24,1.11,37.3,55
26,63,22,78,10536,6,6.76,1.76,27.3,57
36,50,29,42,8740,2,6.89,0.96,27.1,65
53,41,37,76,10014,2,6.94,1.59,28.5,62
44,75,35,41,16643,1,6.75,1.53,33.2,59
45,69,34,82,11048,3,6.87,2.18,30.0,62
25,60,24,50,11689,6,6.07,1.2,29.1,64
25,72,15,84,12801,5,6.86,1.91,30.9,56
35,55,33,60,10846,2,6.75,1.47,30.6,53
38,71,26,75,7553,2,6.71,1.93,25.1,62
30,57,24,79,8944,5,7.31,1.7,27.6,60
44,41,39,46,11349,2,6.59,1.05,28.4,59
33,75,15,43,11552,7,6.62,1.19,28.1,60
26,41,17,55,13438,6,6.73,0.8,30.6,54
44,43,22,52,12634,4,6.58,0.88,30.7,57
34,74,26,72,14829,3,6.57,1.93,30.5,59
20,77,29,61,21125,10,6.75,1.83,36.0,52
21,77,37,49,12732,10,7.55,1.76,31.1,60
18,60,28,53,8146,11,7.21,1.34,27.4,51
31,49,18,70,16851,7,7.15,1.26,33.1,63
25,70,27,72,14512,4,6.71,1.87,31.7,52
24,51,31,40,13389,6,7.05,0.98,30.3,68
47,78,32,48,12686,2,6.66,1.66,31.3,58
42,45,28,55,18841,1,7.06,1.09,35.0,52
33,62,34,79,17186,7,5.95,1.99,33.0,50
28,67,32,69,9479,3,7.41,1.85,29.4,54
42,42,17,84,7053,3,6.93,1.38,23.9,69
50,68,38,58,10667,1,6.54,1.78,28.9,63
38,64,18,48,11285,1,6.4,1.13,28.8,57
27,79,36,60,9711,5,6.54,1.99,26.8,61
26,53,28,58,7805,4,6.62,1.3,26.7,51
18,77,34,65,17258,11,6.63,2.0,34.0,56
51,72,18,82,4034,0,7.04,1.93,22.5,75
48,57,34,78,15553,3,6.54,1.87,33.2,47
38,62,18,62,14728,4,6.27,1.36,32.1,56
41,44,30,50,4000,2,6.53,1.01,22.0,58
36,62,15,68,11431,4,6.53,1.41,31.5,57
38,61,19,41,18918,1,6.52,0.96,33.0,60
42,57,35,42,13751,2,6.58,1.2,31.5,59
37,75,36,48,11433,3,5.94,1.68,31.1,58
43,44,26,77,12847,4,6.58,1.45,31.5,54
24,75,15,54,10751,7,6.64,1.4,28.0,59
20,70,37,68,15189,8,6.72,1.99,31.0,62
25,79,24,82,15076,4,6.44,2.18,30.8,57
47,55,29,49,10112,0,7.16,1.19,27.8,69
28,49,35,85,16826,7,6.51,1.87,34.8,38
25,77,33,88,12017,4,6.71,2.42,32.1,59
54,59,31,41,14569,1,6.42,1.15,33.4,54
34,41,19,80,15202,5,6.67,1.32,31.7,47
25,61,25,85,12803,3,6.36,1.91,30.6,57
47,68,33,53,12099,2,6.57,1.59,30.1,57
33,43,19,65,13960,4,7.1,1.07,30.8,54
21,62,34,58,9936,11,6.23,1.59,28.5,64
38,64,20,47,16145,4,7.12,1.15,30.8,54
51,48,34,57,11522,3,6.76,1.3,28.8,58
52,66,31,60,12777,1,6.74,1.64,31.0,66
30,64,31,40,10272,6,6.59,1.22,29.8,59
44,43,38,72,14931,0,6.92,1.57,32.0,56
25,68,30,85,14726,3,6.81,2.14,32.1,65
46,44,37,84,15203,0,6.81,1.8,33.1,57
33,72,36,70,16311,4,7.26,2.04,31.0,60
22,60,36,82,13901,9,6.56,2.04,33.6,54
54,45,26,48,12690,1,6.83,0.92,28.6,57
27,49,15,43,13297,6,6.72,0.69,32.0,49
32,46,34,63,11126,4,6.72,1.38,30.3,65
38,76,28,51,8630,4,6.7,1.6,29.0,68
51,52,24,55,14842,0,6.7,1.15,31.7,55
39,70,17,78,12259,2,6.84,1.8,30.7,62
39,59,29,86,8813,0,6.77,1.97,28.9,57
26,48,20,60,7898,6,6.67,1.09,25.4,64
43,63,23,56,9301,3,6.38,1.36,28.4,50
30,45,34,76,7415,4,6.01,1.6,26.9,58
35,68,34,77,7029,3,6.24,2.06,27.5,51
18,61,22,70,9646,7,6.99,1.57,28.1,54
40,58,31,42,18795,0,6.7,1.15,36.8,59
50,57,29,82,16526,3,6.41,1.85,32.3,51
48,58,29,70,7699,3,6.77,1.64,27.1,61
38,40,35,47,15671,0,6.89,0.98,32.3,56
40,53,38,89,8192,0,6.54,2.08,27.3,69
33,65,19,88,5007,6,6.46,1.93,27.1,57
44,77,29,65,12585,1,6.25,1.91,31.6,51
54,63,33,89,14823,3,6.98,2.18,30.3,58
31,79,18,72,8735,6,6.9,1.87,27.9,59
54,60,26,61,9741,1,6.47,1.45,28.3,65
24,71,38,86,18985,8,6.82,2.37,35.4,45
29,70,38,73,12961,3,6.7,2.1,30.4,53
45,43,29,79,12789,0,6.55,1.53,31.7,48
20,67,28,87,20620,6,6.57,2.12,36.5,54
39,45,31,58,15798,1,6.99,1.2,34.0,57
38,52,36,89,11356,3,6.67,2.02,30.3,67
46,61,22,75,13960,2,7.04,1.66,33.8,49
37,67,31,68,13984,2,6.77,1.81,31.8,52
20,66,18,72,10807,11,6.53,1.62,30.0,53
44,72,33,55,13629,2,6.81,1.7,31.7,58
38,41,25,41,12221,1,6.41,0.69,28.6,53
50,47,16,66,9087,0,6.46,1.11,28.7,46
47,74,17,84,14875,0,6.8,1.99,32.8,57
26,52,23,89,8948,5,6.47,1.78,27.6,63
40,79,16,53,12405,3,7.12,1.47,28.5,52
40,72,15,88,6991,1,6.27,1.99,26.6,63
18,63,24,51,15567,11,6.6,1.28,33.5,51
38,51,33,81,5684,4,6.11,1.8,25.1,56
49,74,25,54,12759,2,6.67,1.57,30.7,63
43,60,24,78,12820,1,6.88,1.74,31.8,57
50,57,20,56,12370,3,6.4,1.19,29.7,64
26,60,29,43,11317,3,6.08,1.17,29.2,65
34,66,26,62,9298,5,6.07,1.59,28.6,68
23,72,20,71,14164,10,6.9,1.76,32.4,55
24,72,37,69,14671,11,6.77,2.04,30.9,64
24,70,33,67,12900,10,6.68,1.89,28.7,67
54,79,36,87,17712,2,6.45,2.5,36.6,55
22,44,35,78,9389,10,7.3,1.64,28.5,57
50,48,32,63,8034,4,6.55,1.38,26.6,55
27,59,38,74,14167,3,6.83,1.91,30.8,57
34,49,37,57,14979,7,6.82,1.38,31.0,60
45,51,17,83,10824,4,6.43,1.53,29.1,62
39,66,17,82,19151,3,6.96,1.8,34.7,60
38,75,26,87,8878,2,6.12,2.23,28.1,71
49,64,28,42,14880,2,7.13,1.2,30.7,57
49,46,17,43,11773,0,6.91,0.67,30.4,64
53,78,33,76,12390,1,6.29,2.21,30.8,56
48,71,34,59,5894,0,7.11,1.78,25.8,63
23,65,20,74,9320,6,5.96,1.68,27.7,71
38,62,15,48,13549,2,6.47,1.03,30.5,64
52,58,17,74,15956,1,6.02,1.49,32.1,59
31,46,27,46,13615,3,6.68,0.92,31.5,50
40,65,17,57,12754,0,6.31,1.3,31.0,61
41,73,23,62,8014,0,6.93,1.66,27.2,59
47,42,24,51,12006,3,6.87,0.88,27.9,64
27,75,36,59,10124,3,6.73,1.89,32.1,50
22,62,27,76,5849,7,6.54,1.8,24.2,68
47,54,23,89,10463,0,6.13,1.81,28.5,67
24,51,21,74,4000,8,6.75,1.43,23.7,59
23,51,25,52,6727,9,6.65,1.09,26.6,61
25,64,34,71,15832,6,6.76,1.87,32.1,58
43,63,15,68,14822,3,7.04,1.43,31.4,55
35,79,27,56,13905,1,6.69,1.74,30.8,54
53,46,32,59,17946,3,6.59,1.26,34.0,52
43,63,24,50,17596,3,6.49,1.26,35.8,45
53,46,19,84,13096,4,6.67,1.49,29.8,62
21,51,26,65,8464,7,6.53,1.36,28.2,62
30,73,26,75,10382,3,6.72,1.97,30.9,66
41,41,25,81,14379,3,6.48,1.45,31.8,61
48,60,32,54,14039,2,7.05,1.43,28.7,57
39,42,26,58,17634,3,6.43,1.05,36.1,43
35,73,18,84,11541,4,7.14,1.99,29.4,57
51,59,32,68,10387,3,6.14,1.68,27.8,47
40,43,30,89,12757,1,6.32,1.74,30.3,57
54,54,32,53,7111,4,7.15,1.3,26.6,62
18,79,19,88,13932,6,6.51,2.2,30.0,56
37,76,19,59,6938,2,6.85,1.59,27.7,58
42,67,16,54,9535,0,6.41,1.26,28.1,58
23,78,19,57,8911,8,7.19,1.59,25.7,67
47,58,23,42,7128,4,7.1,1.0,28.9,66
37,68,21,69,8453,2,6.61,1.66,27.3,57
26,70,39,85,9838,6,6.56,2.35,27.9,58
35,79,16,71,15177,2,6.94,1.81,31.6,55
20,65,39,61,18349,7,6.54,1.8,35.0,56
53,76,17,67,8083,2,6.66,1.7,26.9,60
23,63,29,86,7040,10,7.27,2.04,27.7,54
